TimeStamp,StandardTemperature,Humidity,Wind
8/29/68 21:00,0.599648672,71.14434,0
9/21/68 5:00,0.509716211,80.89014,0
9/14/68 3:00,0.569671185,80.89014,0.088661001
11/15/68 19:00,0.389707328,26.31366,0.3544461
12/12/68 0:00,0.479639789,57.50022,0.2806279
12/17/68 14:00,0.479639789,91.61052,0.22155355
11/28/68 0:00,0.359729842,78.94098,0
10/7/68 14:00,0.614587947,39.95778,0.251041249
10/7/68 19:00,0.479639789,70.16976,0.132892549
10/14/68 7:00,0.419684815,56.52564,0.1624792
11/9/68 8:00,0.329752355,55.55106,0.10340485
10/22/68 14:00,0.569671185,76.01724,0.2806279
8/24/68 10:00,0.239819894,53.6019,0.1624792
10/27/68 1:00,0.449662302,70.16976,0.132892549
12/6/68 4:00,0.224880619,73.0935,0.088661001
9/8/68 22:00,0.58461046,86.73762,0
10/29/68 0:00,0.40474554,60.42396,0
9/16/68 12:00,0.614587947,45.80526,0
8/23/68 2:00,0.599648672,67.24602,0.191966899
11/23/68 15:00,0.419684815,37.03404,0.132892549
10/15/68 21:00,0.40474554,74.06808,0.22155355
8/26/68 23:00,0.58461046,71.14434,0
12/6/68 16:00,0.344790566,38.9832,0.22155355
10/27/68 18:00,0.494678,38.00862,0.22155355
11/25/68 20:00,0.344790566,64.32228,0.1624792
11/28/68 13:00,0.434723026,34.1103,0.22155355
12/7/68 3:00,0.284835592,73.0935,0
10/29/68 17:00,0.614587947,32.16114,0.10340485
11/24/68 3:00,0.254858106,63.3477,0.191966899
11/19/68 4:00,0.40474554,74.06808,0.088661001
9/1/68 8:00,0.614587947,72.11892,0.251041249
11/8/68 8:00,0.374768053,54.57648,0.10340485
10/20/68 0:00,0.359729842,55.55106,0.088661001
10/29/68 11:00,0.524655487,36.05946,0.1624792
12/9/68 17:00,0.40474554,74.06808,0.191966899
10/7/68 11:00,0.614587947,41.90694,0.22155355
10/27/68 4:00,0.434723026,70.16976,0
9/11/68 0:00,0.659603645,81.86472,0.251041249
11/23/68 18:00,0.329752355,51.65274,0.1624792
11/22/68 19:00,0.329752355,59.44938,0.132892549
8/23/68 1:00,0.599648672,71.14434,0
10/1/68 12:00,0.524655487,34.1103,0.29537175
9/24/68 23:00,0.509716211,91.61052,0.251041249
10/4/68 3:00,0.569671185,76.01724,0
12/7/68 16:00,0.40474554,41.90694,0.132892549
10/3/68 7:00,0.509716211,75.04266,0.132892549
11/15/68 20:00,0.389707328,28.26282,0.45785095
12/11/68 13:00,0.509716211,62.37312,0.1624792
9/28/68 15:00,0.644565434,52.62732,0.22155355
9/19/68 12:00,0.629626158,35.08488,0.132892549
11/1/68 13:00,0.524655487,76.01724,0
10/26/68 7:00,0.509716211,91.61052,0
9/28/68 11:00,0.614587947,55.55106,0.22155355
10/13/68 21:00,0.449662302,57.50022,0.132892549
9/22/68 23:00,0.509716211,58.4748,0
10/25/68 14:00,0.614587947,48.729,0.29537175
10/27/68 21:00,0.449662302,45.80526,0.22155355
11/18/68 16:00,0.509716211,40.93236,0.22155355
9/23/68 13:00,0.614587947,39.95778,0.1624792
11/7/68 1:00,0.314813079,78.94098,0.088661001
9/22/68 17:00,0.614587947,35.08488,0.251041249
9/4/68 18:00,0.689581132,38.9832,0.251041249
12/15/68 8:00,0.389707328,91.61052,0.088661001
10/5/68 22:00,0.539693698,51.65274,0.22155355
11/27/68 8:00,0.329752355,69.19518,0.132892549
10/19/68 0:00,0.40474554,64.32228,0.10340485
12/8/68 18:00,0.359729842,74.06808,0
11/4/68 17:00,0.449662302,75.04266,0.5169253
11/15/68 21:00,0.329752355,36.05946,0.384032751
9/3/68 10:00,0.689581132,72.11892,0.132892549
12/3/68 1:00,0.254858106,67.24602,0
10/13/68 22:00,0.434723026,60.42396,0.132892549
11/16/68 19:00,0.344790566,69.19518,0.088661001
10/18/68 8:00,0.389707328,44.83068,0.384032751
11/11/68 22:00,0.284835592,50.67816,0.2806279
9/18/68 21:00,0.524655487,58.4748,0.10340485
11/22/68 15:00,0.389707328,56.52564,0.1624792
12/2/68 23:00,0.254858106,67.24602,0.088661001
12/16/68 8:00,0.40474554,84.78846,0.1624792
10/24/68 13:00,0.509716211,47.75442,0.132892549
12/18/68 11:00,0.329752355,51.65274,0.3544461
12/8/68 7:00,0.239819894,84.78846,0.132892549
12/18/68 2:00,0.40474554,64.32228,0.324958401
9/5/68 8:00,0.614587947,59.44938,0.1624792
12/3/68 11:00,0.40474554,36.05946,0.29537175
9/2/68 18:00,0.569671185,86.73762,0.088661001
10/7/68 22:00,0.464700513,70.16976,0
10/9/68 8:00,0.539693698,85.76304,0
9/26/68 19:00,0.524655487,41.90694,0.22155355
12/14/68 10:00,0.314813079,74.06808,0.1624792
9/27/68 20:00,0.524655487,62.37312,0.132892549
11/17/68 7:00,0.269797381,84.78846,0.10340485
11/4/68 10:00,0.464700513,49.70358,0.41352045
9/13/68 14:00,0.704520408,72.11892,0.088661001
10/14/68 23:00,0.344790566,90.63594,0.132892549
9/16/68 20:00,0.614587947,39.95778,0.2806279
9/9/68 5:00,0.58461046,86.73762,0
11/26/68 11:00,0.389707328,64.32228,0.251041249
9/17/68 15:00,0.614587947,30.21198,0.384032751